message,label
Payment taken multiple times! kindly resolve,2
Serious complaint: wrong person received my order and details!!!!,2
Need help with changing my address.,1
Urgent: money deducted but order failed! please help,2
Your staff was polite. please help,0
Your staff was polite. asap,0
Urgent: money deducted but order failed! asap,2
Immediate help needed: account locked with balance inside!,2
Unauthorized payment from my card! please help,2
Your staff was polite. kindly resolve,0
Prices seem reasonable. please help,0
Tracking info is not updating.!!!,1
Urgent: money deducted but order failed!!!!,2
Immediate help needed: account locked with balance inside! kindly resolve,2
Prices seem reasonable. kindly resolve,0
Unauthorized payment from my card! please help,2
My account has been hacked! please help,2
I like your service. please help,0
Tracking info is not updating.!!!,1
Critical: scam activity on my profile! asap,2
I like your service.,0
General feedback on your website. kindly resolve,0
Tracking info is not updating. kindly resolve,1
Prices seem reasonable. kindly resolve,0
I like your service.!!!,0
Tracking info is not updating.,1
Need help with changing my address.!!!,1
Sharing a suggestion for improvement. please help,0
Need help with changing my address.!!!,1
Urgent: money deducted but order failed!,2
Received a damaged package.!!!,1
Unauthorized payment from my card! asap,2
Need help with changing my address. kindly resolve,1
Just giving feedback about the UI. please help,0
Unable to login sometimes. asap,1
Urgent: money deducted but order failed! kindly resolve,2
Coupon code is not working.!!!,1
Prices seem reasonable. kindly resolve,0
Prices seem reasonable.!!!,0
Your staff was polite. asap,0
Serious complaint: wrong person received my order and details!!!!,2
Just giving feedback about the UI. asap,0
"I was charged twice, fix this immediately!!!!",2
Unauthorized payment from my card!,2
Unauthorized payment from my card! asap,2
Urgent: money deducted but order failed! asap,2
Sharing a suggestion for improvement. please help,0
I have not received my refund yet. please help,1
Feature request: dark mode would be nice.!!!,0
Coupon code is not working.,1
"I was charged twice, fix this immediately! asap",2
"I was billed incorrectly, please check.!!!",1
Feature request: dark mode would be nice.!!!,0
Prices seem reasonable.,0
Unable to login sometimes. asap,1
Immediate help needed: account locked with balance inside!,2
Fraud transaction detected on my account! asap,2
Received a damaged package. kindly resolve,1
"I was charged twice, fix this immediately!!!!",2
I have not received my refund yet. please help,1
Just giving feedback about the UI. please help,0
The new update is nice. please help,0
Unauthorized payment from my card! kindly resolve,2
Serious complaint: wrong person received my order and details!!!!,2
Coupon code is not working.!!!,1
Feature request: dark mode would be nice. please help,0
Feature request: dark mode would be nice. please help,0
I have not received my refund yet. kindly resolve,1
